Day,PSY,ACT,PHI,LRN,EAT,WTR,SLP,WTH,SBS
27/12/2016,7,7,7,4,3,4,8,6
28/12/2016,6,8,5,6,7,5,9,5
29/12/2016,6,7,5,3,5,4,8,6
30/12/2016,5,3,4,2,6,4,9,6
31/12/2016,8,8,2,7,7,4,7,3
01/01/2017,6,4,2,4,6,3,4,3
02/01/2017,3,6,2,6,5,4,8,1
03/01/2017,4,8,2,7,5,3,8,2
04/01/2017,2,6,2,7,6,3,7,3
05/01/2017,4,6,6,7,2,3,9,3
06/01/2017,8,8,7,5,7,7,8,3
07/01/2017,6,5,3,4,6,5,8,1
08/01/2017,7,8,6,5,7,3,8,3
09/01/2017,7,8,8,4,3,4,7,2
10/01/2017,4,7,2,4,7,6,7,1
11/01/2017,2,7,6,5,6,4,6,4
12/01/2017,10,8,7,6,7,4,7,4
13/01/2017,5,5,3,7,5,3,5,1
14/01/2017,6,5,3,5,3,4,9,5
15/01/2017,4,5,2,6,5,2,9,3
16/01/2017,3,4,6,5,5,3,7,2
17/01/2017,1,3,1,5,6,7,7,2
18/01/2017,7,6,5,4,5,5,6,3
19/01/2017,5,6,2,4,3,5,7,5
20/01/2017,7,4,2,6,5,6,7,5
21/01/2017,8,9,9,7,8,5,8,6
22/01/2017,6,4,2,5,2,5,8,5
23/01/2017,8,6,6,5,3,4,8,4
24/01/2017,9,7,3,5,2,6,7,3
25/01/2017,7,7,5,7,1,4,6,3
26/01/2017,9,8,7,7,4,6,7,5
27/01/2017,7,6,2,7,4,4,7,4
28/01/2017,9,8,2,6,7,7,4,3
29/01/2017,8,7,2,8,8,3,6,3
30/01/2017,7,8,6,7,4,4,7,3
31/01/2017,6,9,3,7,6,3,5,2
01/02/2017,7,6,3,7,7,4,8,1
02/02/2017,7,9,4,4,7,3,8,5
03/02/2017,9,9,5,5,2,5,8,7
04/02/2017,6,8,7,3,6,4,8,3
05/02/2017,8,9,2,4,6,3,8,7
06/02/2017,10,6,8,6,4,3,7,2
07/02/2017,9,8,4,7,3,4,7,3
08/02/2017,9,8,7,8,6,4,6,3
09/02/2017,8,8,6,4,3,5,7,6
10/02/2017,8,8,5,6,6,5,7,5
11/02/2017,6,8,1,7,1,4,9,6
12/02/2017,8,8,7,8,5,3,7,4
13/02/2017,6,9,9,6,3,2,7,3
14/02/2017,7,8,3,7,4,1,8,3
15/02/2017,4,9,4,7,4,6,6,3
16/02/2017,6,9,9,5,5,8,5,4
17/02/2017,7,6,3,5,4,3,7,5
18/02/2017,8,8,5,7,3,4,7,3
19/02/2017,6,5,3,5,2,3,8,3
20/02/2017,7,5,5,5,4,2,6,5
21/02/2017,9,8,3,6,3,4,5,4
22/02/2017,8,5,5,4,4,5,5,7
23/02/2017,9,9,7,6,3,5,4,7
24/02/2017,7,6,7,7,2,4,5,6
25/02/2017,9,9,8,9,3,6,8,4
26/02/2017,5,4,7,7,1,7,3,3
27/02/2017,9,8,9,7,2,3,4,4
28/02/2017,5,8,3,4,1,4,6,6
01/03/2017,8,7,6,8,3,5,5,8
02/03/2017,7,6,9,5,2,4,6,5
03/03/2017,7,9,2,7,2,6,6,7
04/03/2017,9,8,3,7,1,5,8,8
05/03/2017,4,3,1,3,3,5,5,3
06/03/2017,6,6,8,5,1,5,6,2
07/03/2017,5,4,2,3,2,3,8,4
08/03/2017,7,7,5,6,1,4,5,3
09/03/2017,2,5,6,3,3,6,7,5
11/03/2017,3,6,2,4,2,2,7,4
12/03/2017,2,3,1,2,4,3,8,6
13/03/2017,5,6,8,5,2,5,5,7
14/03/2017,7,8,4,7,1,3,7,8
15/03/2017,8,9,5,7,4,4,5,5
16/03/2017,9,9,7,5,7,6,7,6
17/03/2017,8,9,3,4,6,8,7,7
18/03/2017,5,3,2,3,4,3,8,1,0
19/03/2017,3,4,6,7,3,5,8,1,8
20/03/2017,9,1,5,10,1,6,4,8,5
21/03/2017,10,3,2,4,2,5,8,9,2
22/03/2017,9,8,5,6,8,5,5,9,4
23/03/2017,10,7,4,7,3,3,6,8,4
24/03/2017,6,5,3,5,5,3,7,9,4
25/03/2017,7,8,2,7,1,2,8,7,4
26/03/2017,4,4,3,4,1,3,8,8,4
27/03/2017,5,6,8,7,5,5,5,9,4
28/03/2017,8,4,2,8,3,4,8,7,3
29/03/2017,3,2,5,5,3,5,5,8,3
30/03/2017,7,8,6,7,4,6,8,6,5
31/03/2017,9,5,4,4,3,5,8,6,4
01/04/2017,8,3,3,6,1,3,8,7,7
02/04/2017,3,2,4,3,1,4,7,9,6
03/04/2017,1,4,7,5,2,5,6,6,0
04/04/2017,1,3,5,2,3,3,8,4,4
05/04/2017,4,4,5,6,3,4,6,2,4
06/04/2017,3,5,5,5,1,3,8,4,5
07/04/2017,1,3,1,2,1,2,8,5,6
08/04/2017,4,6,5,4,3,4,7,4,7
09/04/2017,6,5,2,5,2,3,5,6,2
