time,age,sex,education,relevant_ed,location,remoteness,company_type,experience,contract,salary,contentment,happiness,languages,position,other_tech,sci_fi
2016.09.09. 10:39:05,35-40,Férfi,Főiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,10,Teljes munkaidős - állandó,"350 000,00 Ft",4,4,C#,Fejlesztő,"SQL Server, HTML, CSS, JQuery",Star Wars
2016.09.09. 10:39:06,35-40,Férfi,Szakközépiskola,Nem,Budapest,Mindkettő,Kis- és középvállalkozás,15,Szabadúszó,"350 000,00 Ft",3,4,PHP,Frontend fejlesztő,"LESS, SASS",Star Trek
2016.09.09. 10:39:23,20-25,Férfi,Egyetem,Igen,Budapest,Bejárós,Nemzetközi cég,1,Teljes munkaidős - állandó,"250 000,00 Ft",2,3,"PHP, Javascript, C#",frontend fejlesztő,"angular, sass, mysql",Star Wars
2016.09.09. 10:39:33,30-35,Férfi,Gimnázium,Nem,Külföld,Bejárós,Nemzetközi cég,12,Teljes munkaidős - állandó,"1 000 000,00 Ft",4,3,"PHP, Javascript, C++, Python",Development Lead,"* MVC framework, frontend build stack, cloud szolgatlatok, rendszergazdai es rendszermernoki feladatok Linux alapokon (automatizaciot is beleertve)",Star Trek
2016.09.09. 10:40:04,20-25,Férfi,Gimnázium,Nem,Vidék,Mindkettő,Kis- és középvállalkozás,3,Szabadúszó,"200 000,00 Ft",5,5,"PHP, Javascript",Webfejlesztő,"CakePHP, Codeigniter",He?
2016.09.09. 10:40:06,25-30,Férfi,Szakiskola,Nem,Vegyes,Távmunka,Nemzetközi cég,11,Szabadúszó,"350 000,00 Ft",3,4,"PHP, Java",Frontend fejlesztő,,He?
2016.09.09. 10:40:37,30-35,Férfi,Egyetem,Igen,Budapest,Bejárós,Nemzetközi cég,5,Teljes munkaidős - állandó,"450 000,00 Ft",4,3,Javascript,Frontend,"Angular, Less, Sass, Mongodb",Star Wars
2016.09.09. 10:41:41,20-25,Férfi,Szakközépiskola,Nem,Vidék,Mindkettő,Kis- és középvállalkozás,3,Diák,"120 000,00 Ft",4,5,"PHP, Javascript",webfejlesztő,,Star Wars
2016.09.09. 10:41:53,20-25,Férfi,Szakközépiskola,Nem,Budapest,Bejárós,Kis- és középvállalkozás,4,Teljes munkaidős - állandó,"160 000,00 Ft",3,3,"PHP, Javascript",junior frontend/wordpress dev,"docker, bash, sass",Star Wars
2016.09.09. 10:42:52,20-25,Férfi,Szakközépiskola,Nem,Vidék,Mindkettő,Kis- és középvállalkozás,8,"Vállalkozó, saját cég","800 000,00 Ft",3,3,"PHP, Javascript, C#, Java, Python",Szoftverfejlesztési vezető,"Angular, LESS, SASS, Docker, Bash, Redis, Mongodb, Drupal, Apache Solr, Apache Cordova, Ionic, Pentaho Spoon (Kettle), Git, Puppet, Android, Elasticsearch, Eclipse BIRT, Percona, NGINX, és még nagyon NAGYON sok...",Star Wars
